concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
21600089	lafutidine; oral	Drug	ATC	ATC 5th	C	A02BA08	19700101	20991231	
21600090	cimetidine, combinations; systemic	Drug	ATC	ATC 5th	C	A02BA51	19700101	20991231	
21600091	famotidine, combinations; systemic	Drug	ATC	ATC 5th	C	A02BA53	19700101	20991231	
21600092	Prostaglandins	Drug	ATC	ATC 4th	C	A02BB	19700101	20991231	
21600093	misoprostol; oral	Drug	ATC	ATC 5th	C	A02BB01	19700101	20991231	
21600094	enprostil; oral	Drug	ATC	ATC 5th	C	A02BB02	19700101	20991231	
21600095	Proton pump inhibitors	Drug	ATC	ATC 4th	C	A02BC	19700101	20991231	
21600096	omeprazole; systemic	Drug	ATC	ATC 5th	C	A02BC01	19700101	20991231	
21600097	pantoprazole; systemic	Drug	ATC	ATC 5th	C	A02BC02	19700101	20991231	
21600098	lansoprazole; oral	Drug	ATC	ATC 5th	C	A02BC03	19700101	20991231	
21600099	rabeprazole; oral	Drug	ATC	ATC 5th	C	A02BC04	19700101	20991231	
21600100	esomeprazole; systemic	Drug	ATC	ATC 5th	C	A02BC05	19700101	20991231	
40254795	dexlansoprazole; oral	Drug	ATC	ATC 5th	C	A02BC06	19700101	20991231	
45893509	dexrabeprazole; oral	Drug	ATC	ATC 5th	C	A02BC07	19700101	20991231	
715768	vonoprazan; oral	Drug	ATC	ATC 5th	C	A02BC08	19700101	20991231	
45893506	rabeprazole, combinations; oral	Drug	ATC	ATC 5th	C	A02BC54	19700101	20991231	
21600101	Combinations for eradication of Helicobacter pylori	Drug	ATC	ATC 4th	C	A02BD	19700101	20991231	
21600102	omeprazole, amoxicillin and metronidazole; systemic	Drug	ATC	ATC 5th	C	A02BD01	19700101	20991231	
21600103	lansoprazole, tetracycline and metronidazole; systemic	Drug	ATC	ATC 5th	C	A02BD02	19700101	20991231	
21600104	lansoprazole, amoxicillin and metronidazole; systemic	Drug	ATC	ATC 5th	C	A02BD03	19700101	20991231	
21600105	pantoprazole, amoxicillin and clarithromycin; systemic	Drug	ATC	ATC 5th	C	A02BD04	19700101	20991231	
21600106	omeprazole, amoxicillin and clarithromycin; systemic	Drug	ATC	ATC 5th	C	A02BD05	19700101	20991231	
21600107	esomeprazole, amoxicillin and clarithromycin; systemic	Drug	ATC	ATC 5th	C	A02BD06	19700101	20991231	
21600108	lansoprazole, amoxicillin and clarithromycin; systemic	Drug	ATC	ATC 5th	C	A02BD07	19700101	20991231	
40255043	bismuth subcitrate, tetracycline and metronidazole; systemic	Drug	ATC	ATC 5th	C	A02BD08	19700101	20991231	
45893460	lansoprazole, clarithromycin and tinidazole; systemic	Drug	ATC	ATC 5th	C	A02BD09	19700101	20991231	
45893273	lansoprazole, amoxicillin and levofloxacin; systemic	Drug	ATC	ATC 5th	C	A02BD10	19700101	20991231	
715856	rabeprazole, amoxicillin and clarithromycin; systemic	Drug	ATC	ATC 5th	C	A02BD12	19700101	20991231	
715857	rabeprazole, amoxicillin and metronidazole; systemic	Drug	ATC	ATC 5th	C	A02BD13	19700101	20991231	
715863	vonoprazan, amoxicillin and clarithromycin; systemic	Drug	ATC	ATC 5th	C	A02BD14	19700101	20991231	
715864	vonoprazan, amoxicillin and metronidazole; systemic	Drug	ATC	ATC 5th	C	A02BD15	19700101	20991231	
21600109	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Drug	ATC	ATC 4th	C	A02BX	19700101	20991231	
21600110	carbenoxolone; oral	Drug	ATC	ATC 5th	C	A02BX01	19700101	20991231	
21600111	sucralfate; oral	Drug	ATC	ATC 5th	C	A02BX02	19700101	20991231	
21600112	pirenzepine; systemic	Drug	ATC	ATC 5th	C	A02BX03	19700101	20991231	
21600113	methiosulfonium chloride; systemic	Drug	ATC	ATC 5th	C	A02BX04	19700101	20991231	
21600114	bismuth subcitrate; oral	Drug	ATC	ATC 5th	C	A02BX05	19700101	20991231	
21600115	proglumide; oral	Drug	ATC	ATC 5th	C	A02BX06	19700101	20991231	
21600116	gefarnate; oral	Drug	ATC	ATC 5th	C	A02BX07	19700101	20991231	
21600117	sulglicotide; oral	Drug	ATC	ATC 5th	C	A02BX08	19700101	20991231	
21600118	acetoxolone; oral	Drug	ATC	ATC 5th	C	A02BX09	19700101	20991231	
21600119	zolimidine	Drug	ATC	ATC 5th	C	A02BX10	19700101	20991231	
21600120	troxipide; oral	Drug	ATC	ATC 5th	C	A02BX11	19700101	20991231	
1502113	rebamipide; oral	Drug	ATC	ATC 5th	C	A02BX14	19700101	20991231	
21600124	carbenoxolone, combinations with psycholeptics; oral, oral local, topical, vaginal	Drug	ATC	ATC 5th	C	A02BX71	19700101	20991231	
21600125	gefarnate, combinations with psycholeptics; oral	Drug	ATC	ATC 5th	C	A02BX77	19700101	20991231	
21600126	OTHER DRUGS FOR ACID RELATED DISORDERS	Drug	ATC	ATC 3rd	C	A02X	19700101	20991231	
21600127	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Drug	ATC	ATC 2nd	C	A03	19700101	20991231	
21600128	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	Drug	ATC	ATC 3rd	C	A03A	19700101	20991231	
21600129	Synthetic anticholinergics, esters with tertiary amino group	Drug	ATC	ATC 4th	C	A03AA	19700101	20991231	
21600130	oxyphencyclimine; oral	Drug	ATC	ATC 5th	C	A03AA01	19700101	20991231	
21600131	camylofin; oral, rectal	Drug	ATC	ATC 5th	C	A03AA03	19700101	20991231	
21600132	mebeverine; oral	Drug	ATC	ATC 5th	C	A03AA04	19700101	20991231	
21600133	trimebutine; oral	Drug	ATC	ATC 5th	C	A03AA05	19700101	20991231	
21600135	dicycloverine; systemic	Drug	ATC	ATC 5th	C	A03AA07	19700101	20991231	
21600136	dihexyverine; oral, rectal	Drug	ATC	ATC 5th	C	A03AA08	19700101	20991231	
21600137	difemerine; systemic	Drug	ATC	ATC 5th	C	A03AA09	19700101	20991231	
21600138	piperidolate; oral	Drug	ATC	ATC 5th	C	A03AA30	19700101	20991231	
21600139	Synthetic anticholinergics, quaternary ammonium compounds	Drug	ATC	ATC 4th	C	A03AB	19700101	20991231	
21600140	benzilone; oral	Drug	ATC	ATC 5th	C	A03AB01	19700101	20991231	
21600141	glycopyrronium bromide; systemic, rectal	Drug	ATC	ATC 5th	C	A03AB02	19700101	20991231	
21600142	oxyphenonium; oral	Drug	ATC	ATC 5th	C	A03AB03	19700101	20991231	
21600143	penthienate; oral	Drug	ATC	ATC 5th	C	A03AB04	19700101	20991231	
21600144	propantheline; systemic	Drug	ATC	ATC 5th	C	A03AB05	19700101	20991231	
21600146	methantheline; oral	Drug	ATC	ATC 5th	C	A03AB07	19700101	20991231	
21600147	tridihexethyl; oral	Drug	ATC	ATC 5th	C	A03AB08	19700101	20991231	
21600148	isopropamide; oral	Drug	ATC	ATC 5th	C	A03AB09	19700101	20991231	
21600149	hexocyclium; oral	Drug	ATC	ATC 5th	C	A03AB10	19700101	20991231	
21600150	poldine; oral	Drug	ATC	ATC 5th	C	A03AB11	19700101	20991231	
21600151	mepenzolate; oral	Drug	ATC	ATC 5th	C	A03AB12	19700101	20991231	
21600152	bevonium; oral	Drug	ATC	ATC 5th	C	A03AB13	19700101	20991231	
21600153	pipenzolate; oral	Drug	ATC	ATC 5th	C	A03AB14	19700101	20991231	
21600154	diphemanil; oral, topical	Drug	ATC	ATC 5th	C	A03AB15	19700101	20991231	
21600155	(2-benzhydryloxyethyl)diethyl-methylammonium iodide; oral	Drug	ATC	ATC 5th	C	A03AB16	19700101	20991231	
21600156	tiemonium iodide; systemic	Drug	ATC	ATC 5th	C	A03AB17	19700101	20991231	
21600157	prifinium bromide; systemic	Drug	ATC	ATC 5th	C	A03AB18	19700101	20991231	
21600158	timepidium bromide; systemic	Drug	ATC	ATC 5th	C	A03AB19	19700101	20991231	
21600159	fenpiverinium; systemic	Drug	ATC	ATC 5th	C	A03AB21	19700101	20991231	
21600161	Synthetic antispasmodics, amides with tertiary amines	Drug	ATC	ATC 4th	C	A03AC	19700101	20991231	
21600162	dimethylaminopropionylphenothiazine	Drug	ATC	ATC 5th	C	A03AC02	19700101	20991231	
21600163	nicofetamide	Drug	ATC	ATC 5th	C	A03AC04	19700101	20991231	
21600164	tiropramide; systemic	Drug	ATC	ATC 5th	C	A03AC05	19700101	20991231	
21600165	Papaverine and derivatives	Drug	ATC	ATC 4th	C	A03AD	19700101	20991231	
21600167	drotaverine; systemic	Drug	ATC	ATC 5th	C	A03AD02	19700101	20991231	
21600168	moxaverine; oral	Drug	ATC	ATC 5th	C	A03AD30	19700101	20991231	
21600169	Serotonin receptor antagonists	Drug	ATC	ATC 4th	C	A03AE	19700101	20991231	
21600170	alosetron; oral	Drug	ATC	ATC 5th	C	A03AE01	19700101	20991231	
21600172	cilansetron	Drug	ATC	ATC 5th	C	A03AE03	19700101	20991231	
21600174	Other drugs for functional gastrointestinal disorders	Drug	ATC	ATC 4th	C	A03AX	19700101	20991231	
21600175	fenpiprane	Drug	ATC	ATC 5th	C	A03AX01	19700101	20991231	
21600176	diisopromine; oral	Drug	ATC	ATC 5th	C	A03AX02	19700101	20991231	
21600177	chlorbenzoxamine; oral	Drug	ATC	ATC 5th	C	A03AX03	19700101	20991231	
21600178	pinaverium; oral	Drug	ATC	ATC 5th	C	A03AX04	19700101	20991231	
21600179	fenoverine; oral	Drug	ATC	ATC 5th	C	A03AX05	19700101	20991231	
21600180	idanpramine	Drug	ATC	ATC 5th	C	A03AX06	19700101	20991231	
21600181	proxazole	Drug	ATC	ATC 5th	C	A03AX07	19700101	20991231	
21600182	alverine; oral, rectal	Drug	ATC	ATC 5th	C	A03AX08	19700101	20991231	
21600183	trepibutone; oral	Drug	ATC	ATC 5th	C	A03AX09	19700101	20991231	
21600185	caroverine; systemic	Drug	ATC	ATC 5th	C	A03AX11	19700101	20991231	
21600186	phloroglucinol; systemic	Drug	ATC	ATC 5th	C	A03AX12	19700101	20991231	
21600187	silicones; oral	Drug	ATC	ATC 5th	C	A03AX13	19700101	20991231	
45893475	valethamate; systemic	Drug	ATC	ATC 5th	C	A03AX14	19700101	20991231	
21600188	trimethyldiphenylpropylamine; systemic	Drug	ATC	ATC 5th	C	A03AX30	19700101	20991231	
21600190	BELLADONNA AND DERIVATIVES, PLAIN	Drug	ATC	ATC 3rd	C	A03B	19700101	20991231	
21600191	Belladonna alkaloids, tertiary amines	Drug	ATC	ATC 4th	C	A03BA	19700101	20991231	
21600192	atropine; systemic	Drug	ATC	ATC 5th	C	A03BA01	19700101	20991231	
21600193	hyoscyamine; oral	Drug	ATC	ATC 5th	C	A03BA03	19700101	20991231	
21600194	belladonna total alkaloids; oral	Drug	ATC	ATC 5th	C	A03BA04	19700101	20991231	
21600195	Belladonna alkaloids, semisynthetic, quaternary ammonium compounds	Drug	ATC	ATC 4th	C	A03BB	19700101	20991231	
21600196	butylscopolamine; systemic, rectal	Drug	ATC	ATC 5th	C	A03BB01	19700101	20991231	
21600197	methylatropine; oral	Drug	ATC	ATC 5th	C	A03BB02	19700101	20991231	
21600198	methylscopolamine; systemic	Drug	ATC	ATC 5th	C	A03BB03	19700101	20991231	
21600199	fentonium; oral	Drug	ATC	ATC 5th	C	A03BB04	19700101	20991231	
21600200	cimetropium bromide	Drug	ATC	ATC 5th	C	A03BB05	19700101	20991231	
715871	homatropine methylbromide; systemic	Drug	ATC	ATC 5th	C	A03BB06	19700101	20991231	
21600201	ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS	Drug	ATC	ATC 3rd	C	A03C	19700101	20991231	
21600202	Synthetic anticholinergic agents in combination with psycholeptics	Drug	ATC	ATC 4th	C	A03CA	19700101	20991231	
21600203	isopropamide and psycholeptics; oral	Drug	ATC	ATC 5th	C	A03CA01	19700101	20991231	
21600204	clidinium and psycholeptics; oral	Drug	ATC	ATC 5th	C	A03CA02	19700101	20991231	
21600205	oxyphencyclimine and psycholeptics; oral	Drug	ATC	ATC 5th	C	A03CA03	19700101	20991231	
21600206	otilonium bromide and psycholeptics; oral	Drug	ATC	ATC 5th	C	A03CA04	19700101	20991231	
21600207	glycopyrronium bromide and psycholeptics; systemic	Drug	ATC	ATC 5th	C	A03CA05	19700101	20991231	
21600208	bevonium and psycholeptics	Drug	ATC	ATC 5th	C	A03CA06	19700101	20991231	
21600209	ambutonium and psycholeptics; oral	Drug	ATC	ATC 5th	C	A03CA07	19700101	20991231	
21600210	diphemanil and psycholeptics; oral, topical	Drug	ATC	ATC 5th	C	A03CA08	19700101	20991231	
45893505	pipenzolate and psycholeptics; oral	Drug	ATC	ATC 5th	C	A03CA09	19700101	20991231	
21600211	emepronium and psycholeptics; oral	Drug	ATC	ATC 5th	C	A03CA30	19700101	20991231	
21600213	Belladonna and derivatives in combination with psycholeptics	Drug	ATC	ATC 4th	C	A03CB	19700101	20991231	
21600215	belladonna total alkaloids and psycholeptics; systemic	Drug	ATC	ATC 5th	C	A03CB02	19700101	20991231	
21600216	atropine and psycholeptics; systemic	Drug	ATC	ATC 5th	C	A03CB03	19700101	20991231	
21600217	homatropine methylbromide and psycholeptics; systemic	Drug	ATC	ATC 5th	C	A03CB04	19700101	20991231	
21600219	Other antispasmodics in combination with psycholeptics	Drug	ATC	ATC 4th	C	A03CC	19700101	20991231	
21600220	ANTISPASMODICS IN COMBINATION WITH ANALGESICS	Drug	ATC	ATC 3rd	C	A03D	19700101	20991231	
21600221	Synthetic anticholinergic agents in combination with analgesics	Drug	ATC	ATC 4th	C	A03DA	19700101	20991231	
21600222	tropenzilone and analgesics	Drug	ATC	ATC 5th	C	A03DA01	19700101	20991231	
21600223	pitofenone and analgesics; systemic	Drug	ATC	ATC 5th	C	A03DA02	19700101	20991231	
21600224	bevonium and analgesics	Drug	ATC	ATC 5th	C	A03DA03	19700101	20991231	
21600225	ciclonium and analgesics; systemic	Drug	ATC	ATC 5th	C	A03DA04	19700101	20991231	
21600226	camylofin and analgesics; systemic	Drug	ATC	ATC 5th	C	A03DA05	19700101	20991231	
21600227	trospium and analgesics; systemic	Drug	ATC	ATC 5th	C	A03DA06	19700101	20991231	
21600228	tiemonium iodide and analgesics; oral	Drug	ATC	ATC 5th	C	A03DA07	19700101	20991231	
21600229	Belladonna and derivatives in combination with analgesics	Drug	ATC	ATC 4th	C	A03DB	19700101	20991231	
21600230	butylscopolamine and analgesics; systemic	Drug	ATC	ATC 5th	C	A03DB04	19700101	20991231	
21600231	Other antispasmodics in combination with analgesics	Drug	ATC	ATC 4th	C	A03DC	19700101	20991231	
21600232	ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS	Drug	ATC	ATC 3rd	C	A03E	19700101	20991231	
21600480	Antispasmodics, psycholeptics and analgesics in combination	Drug	ATC	ATC 4th	C	A03EA	19700101	20991231	
21600481	Antispasmodics in combination with other drugs	Drug	ATC	ATC 4th	C	A03ED	19700101	20991231	
21600482	PROPULSIVES	Drug	ATC	ATC 3rd	C	A03F	19700101	20991231	
21600483	Propulsives	Drug	ATC	ATC 4th	C	A03FA	19700101	20991231	
21600484	metoclopramide; systemic, rectal	Drug	ATC	ATC 5th	C	A03FA01	19700101	20991231	
21600485	cisapride; oral, rectal	Drug	ATC	ATC 5th	C	A03FA02	19700101	20991231	
21600486	domperidone; systemic, rectal	Drug	ATC	ATC 5th	C	A03FA03	19700101	20991231	
21600487	bromopride; systemic	Drug	ATC	ATC 5th	C	A03FA04	19700101	20991231	
21600488	alizapride; systemic	Drug	ATC	ATC 5th	C	A03FA05	19700101	20991231	
21600489	clebopride; systemic	Drug	ATC	ATC 5th	C	A03FA06	19700101	20991231	
45893516	itopride; oral	Drug	ATC	ATC 5th	C	A03FA07	19700101	20991231	
1123814	cinitapride; oral	Drug	ATC	ATC 5th	C	A03FA08	19700101	20991231	
715759	mosapride; oral	Drug	ATC	ATC 5th	C	A03FA09	19700101	20991231	
21600490	ANTIEMETICS AND ANTINAUSEANTS	Drug	ATC	ATC 2nd	C	A04	19700101	20991231	
21600491	ANTIEMETICS AND ANTINAUSEANTS	Drug	ATC	ATC 3rd	C	A04A	19700101	20991231	
21600492	Serotonin (5HT3) antagonists	Drug	ATC	ATC 4th	C	A04AA	19700101	20991231	
21600493	ondansetron; systemic, rectal	Drug	ATC	ATC 5th	C	A04AA01	19700101	20991231	
21600494	granisetron; systemic, transdermal	Drug	ATC	ATC 5th	C	A04AA02	19700101	20991231	
21600495	tropisetron; systemic	Drug	ATC	ATC 5th	C	A04AA03	19700101	20991231	
21600496	dolasetron; systemic	Drug	ATC	ATC 5th	C	A04AA04	19700101	20991231	
21600497	palonosetron; systemic	Drug	ATC	ATC 5th	C	A04AA05	19700101	20991231	
45893275	palonosetron, combinations; systemic	Drug	ATC	ATC 5th	C	A04AA55	19700101	20991231	
21600498	Other antiemetics	Drug	ATC	ATC 4th	C	A04AD	19700101	20991231	
21600500	cerium oxalate; oral	Drug	ATC	ATC 5th	C	A04AD02	19700101	20991231	
21600502	metopimazine; systemic	Drug	ATC	ATC 5th	C	A04AD05	19700101	20991231	
21600504	nabilone; oral	Drug	ATC	ATC 5th	C	A04AD11	19700101	20991231	
21600505	aprepitant; systemic	Drug	ATC	ATC 5th	C	A04AD12	19700101	20991231	
21600506	casopitant	Drug	ATC	ATC 5th	C	A04AD13	19700101	20991231	
1123827	rolapitant; oral	Drug	ATC	ATC 5th	C	A04AD14	19700101	20991231	
21600507	scopolamine, combinations; systemic	Drug	ATC	ATC 5th	C	A04AD51	19700101	20991231	
21600509	BILE AND LIVER THERAPY	Drug	ATC	ATC 2nd	C	A05	19700101	20991231	
21600510	BILE THERAPY	Drug	ATC	ATC 3rd	C	A05A	19700101	20991231	
21600511	Bile acids and derivatives	Drug	ATC	ATC 4th	C	A05AA	19700101	20991231	
21600512	chenodeoxycholic acid; oral	Drug	ATC	ATC 5th	C	A05AA01	19700101	20991231	
21600513	ursodeoxycholic acid; oral	Drug	ATC	ATC 5th	C	A05AA02	19700101	20991231	
21600514	cholic acid; oral	Drug	ATC	ATC 5th	C	A05AA03	19700101	20991231	
1588639	obeticholic acid; oral	Drug	ATC	ATC 5th	C	A05AA04	19700101	20991231	
21600515	Preparations for biliary tract therapy	Drug	ATC	ATC 4th	C	A05AB	19700101	20991231	
21600516	nicotinyl methylamide; systemic	Drug	ATC	ATC 5th	C	A05AB01	19700101	20991231	
21600517	Other drugs for bile therapy	Drug	ATC	ATC 4th	C	A05AX	19700101	20991231	
21600518	piprozolin; oral	Drug	ATC	ATC 5th	C	A05AX01	19700101	20991231	
21600520	cyclobutyrol; oral	Drug	ATC	ATC 5th	C	A05AX03	19700101	20991231	
21600521	LIVER THERAPY, LIPOTROPICS	Drug	ATC	ATC 3rd	C	A05B	19700101	20991231	
21600522	Liver therapy	Drug	ATC	ATC 4th	C	A05BA	19700101	20991231	
21600523	arginine glutamate; systemic	Drug	ATC	ATC 5th	C	A05BA01	19700101	20991231	
21600525	citiolone; oral	Drug	ATC	ATC 5th	C	A05BA04	19700101	20991231	
21600526	epomediol; oral	Drug	ATC	ATC 5th	C	A05BA05	19700101	20991231	
21600530	DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION	Drug	ATC	ATC 3rd	C	A05C	19700101	20991231	
21600531	DRUGS FOR CONSTIPATION	Drug	ATC	ATC 2nd	C	A06	19700101	20991231	
21600532	DRUGS FOR CONSTIPATION	Drug	ATC	ATC 3rd	C	A06A	19700101	20991231	
21600533	Softeners, emollients	Drug	ATC	ATC 4th	C	A06AA	19700101	20991231	
21600534	liquid paraffin; oral	Drug	ATC	ATC 5th	C	A06AA01	19700101	20991231	
21600535	docusate sodium; oral	Drug	ATC	ATC 5th	C	A06AA02	19700101	20991231	
21600536	liquid paraffin, combinations; topical	Drug	ATC	ATC 5th	C	A06AA51	19700101	20991231	
21600537	Contact laxatives	Drug	ATC	ATC 4th	C	A06AB	19700101	20991231	
21600538	oxyphenisatine; oral	Drug	ATC	ATC 5th	C	A06AB01	19700101	20991231	
21600539	bisacodyl; oral, rectal	Drug	ATC	ATC 5th	C	A06AB02	19700101	20991231	
21600540	dantron; oral	Drug	ATC	ATC 5th	C	A06AB03	19700101	20991231	
21600541	phenolphthalein; oral	Drug	ATC	ATC 5th	C	A06AB04	19700101	20991231	
21600542	castor oil; oral	Drug	ATC	ATC 5th	C	A06AB05	19700101	20991231	
21600544	cascara; systemic	Drug	ATC	ATC 5th	C	A06AB07	19700101	20991231	
21600545	sodium picosulfate; oral	Drug	ATC	ATC 5th	C	A06AB08	19700101	20991231	
21600546	bisoxatin; oral	Drug	ATC	ATC 5th	C	A06AB09	19700101	20991231	
21600548	contact laxatives in combination with belladonna alkaloids	Drug	ATC	ATC 5th	C	A06AB30	19700101	20991231	
21600549	bisacodyl, combinations; oral, rectal	Drug	ATC	ATC 5th	C	A06AB52	19700101	20991231	
21600550	dantron, combinations; oral	Drug	ATC	ATC 5th	C	A06AB53	19700101	20991231	
21600551	senna glycosides, combinations; systemic	Drug	ATC	ATC 5th	C	A06AB56	19700101	20991231	
